Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Burst of Energy,Chaos,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Damaging Burst abilities give you the Minor Ward effect if at least 2 hits do no glance, which reduces all damage received by 7.5% for 8 seconds."
Suffering and Solace,Chaos,Magic,,27,,Active - Consumer,,,,,,,1000,0,"Damage, Survivability",,,"Consumes all Chaos Resources. A single target attack that deals 91 - 179 magical damage, based on the number of resources consumes. If the target is Impaired, you also gain a beneficial effect causing the next 3 hits against you to reflect 3% per resource of the damage dealt back to the attacker."
Fever Pitch,Chaos,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a Weakened target, you have a 15% chance to gain the Major Hit Chance effect, which reduces the chance of glancing by 25% for 5 seconds."
Immutable,Chaos,Magic,,50,,Active - Elite,,,,,,,0,60000,"Support, Survivability",,,"Gives you a beneficial effect that causes you to be immortal for 6 seconds. When this effect expires, you heal for 30% of your maximum health. This ability does not trigger and is not affected by global recharge time."
Fixation,Chaos,Magic,,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit a Weakened target, you have a 50% chance to gain a single stack of the Hit Rating effect, which increases Hit Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Chaotic Pull,Chaos,Magic,,12,,Active,,,,,,,1000,35000,"Damage, Support",,,A single target attack that deals 91 magical damage and the target becomes Impaired as they are pulled towards you. This ability has 15 metre range.
Contradiction,Chaos,Magic,,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you are glanced, you evade, or block an attack, your attacker becomes Weakened by 2 stacks of the Exposed effect, which increases all damage received by 2% per stack for 10 seconds. This effect can stack up to 10 times."
Uneven Ground,Chaos,Magic,,21,,Active,,,,,,,1000,45000,"Damage, Support",,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. A PBAoE attack that deals 52 magical damage. Affected targets also become Weakened by 5 stacks the Exposed effect, which increases all damage received by 2% per stack for 10 seconds.This effect can stack up to 10 times. For each target affected, you gain a single stack of the Evade Rating effect, which increases your Evade Rating 40 per stack for 8 seconds. This effect can stack up to 5 times."
Cause and Effect,Chaos,Magic,,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Impaired or whenever you are Impaired, you gain a beneficial effect that causes your next attack to deal 15% additional damage and the target generates 1250 extra hate towards you."
Smoke and Mirrors,Chaos,Magic,,34,,Active,,,,,,,0,90000,"Support, Survivability",,,Gives you a beneficial effect tht increases Evade Chance by 40% for 8 seconds. This ability does not trigger and is not affected by global recharge time.
Prodigal,Chaos,Magic,,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,Increases maximum health by 10%. Base duration of crowd control effects applied to you is reduced by 35%.
Shaken Foundations,Chaos,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Builds 1 resource for each equipped weapon. A TAoE attack that deals 24 magical damage.
Backlash,Chaos,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you evade, you build a Backlash counter. When there are 7 counters, you deal 81 magical damage in an area around you and reset the count. Up to a maximum of 6 targets."
Karma,Chaos,Magic,,16,,Active - Consumer,,,,,,,1000,4000,"Damage, Survivability",,,"PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Consumes all Chaos Resources. A PBAoE Frenzy attack that deals 41 - 81 magical damage, based on the number of resources consumed. Also applies a detrimental effect to affected targets that causes them to heal the next targets that causes them to heal the next target they hit for a percentage of their target's maximum health."
Turbulence,Chaos,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you activate a Frenzy ability, you gain a single stack of the Evade Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Reality Fracture,Chaos,Magic,,27,,Active - Consumer,,,,,,,1000,10000,"Damage, Survivability",,,"GTAoE: Affects up to 6 enemies in a 5 metre radius around the targeted point, pulsing every second for 6 seconds. Consumes all Chaos Resources. A GTAoE that deals 11 - 22 magical damage, or 13 - 25 magical damage if the target is Weakened. Damage scales based on the number of resources consumed. This attack generates a high amount of hate."
Extended Fracture,Chaos,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"""Reality Fracture"" deals 15% more damage and affects 2 more targets."
Gravitational Anomaly,Chaos,Magic,,50,,Active - Elite,,,,,,,3000,25000,Damage,,,Channelled: Every second for 3 seconds. PBAoE: Affects up to 3 random enemies in a 10 metre radius around you. A channelled PBAoE attack that deals 177 magical damage per hit. Affected targets become Impaired and knocked into the air for 2 seconds.
Boiling Blood,Blood,Magic,,1,,Active - Builder,,,,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 49 magical damage.
Corrupted Blood,Blood,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit with ""Boiling Blood."" the target also becomes Afflicted with a damage over time effect that deals 2 magical damage every second for 8 seconds. This effect can stack up to 7 times."
Blood Spike,Blood,Magic,,1,,Active - Consumer,,,,,,,1500,0,Damage,,,"Consumes 2 Blood Resources. Can be powered by your own health. A single target attack that deals 89 magical damage and also causes the target to become Afflicted with a damage over time effect that deals 8 magical damage every 0.5 seconds for 5 seconds. If the target has the Blood Spike damage over time effect already, this ability instead deals 189 magical damage."
Dark Potency,Blood,Magic,,2,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Afflicted, you gain a single stack of the Penetration Rating effect, which increases Penetration Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Infection,Blood,Magic,,3,,Active - Consumer,,,,,,,1500,0,Damage,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Consumes 3 Blood Resources. Can be powered by your own health. A Chain attack that deals 54 magical damage. Affected targets also become Afflicted with a damage over time effect dealing 7 magical damage every 2 seconds for 12 seconds. If an enemy dies while affected by this effect, it explodes, dealing 40 magical damage to nearby targets."
Thicker Than Water,Blood,Magic,,4,,Passive,,,,,,,N/A,N/A,N/A,,,Increases direct damage and healing of Blood abilities by 10%.
Cardiac Arrest,Blood,Magic,,7,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,A single target attack that deals 348 magical damage. The target also becomes Impaired and unable to act for 3 seconds. Applies Vulnerable to Melee. Susceptible to Anima Deviation.
Unholy Knowledge,Blood,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,Increases damage dealt by damage over time effects by 10%.
Blood Shield,Blood,Magic,,1,,Active - Builder,,,,,,,1000,0,Healing,,,Builds 1 Blood Resource. Heals 27 and places an absorb barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 26 damage.
Rapid Shield,Blood,Magic,,1,,Passive,,,,,,,N/A,N/A,N/A,,,"Increases the heal and barrier of ""Blood Shield"" by 7.5%."
Angelic Aegis,Blood,Magic,,2,,Active - Consumer,,,,,,,1500,0,Healing,,,Consumes 3 Blood Resources. Can be powered by your own health. Heals 105 and places an absorb barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 104 damage.
Angel's Touch,Blood,Magic,,3,,Passive,,,,,,,N/A,N/A,N/A,,,"""Angelic Aegis"" heals for an additional 46 to targets below 50% health."
Exsanguinate,Blood,Magic,,4,,Active - Consumer,,,,,,,2500,0,Damage,,,"Channelled: Every 0.5 seconds for 2.5 seconds. Consumes 5 Blood Resources. Can be powered by your own health. A channelled Focus attack that deals 62 magical damage per hit. If the target is Impaired, it also becomes Afflicted with a damage over time effect that deals 6 magical damage every second for 10 seconds."
Coagulation,Blood,Magic,,7,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,Increases the effectiveness of barrier effects by 60%.
Bloodline,Blood,Magic,,9,,Active - Builder,,,,,,,1000,0,Damage,,,Channelled: Every 0.25 seconds for 1 second. Builds 1 resource for each equipped weapon. A channelled Focus attack that deals 12 magical damage per hit.
Iron Maiden,Blood,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate a target that is Afflicted, you gain the Minor Pentration Chance effect, which increases Penetration Chance by 15% for 8 seconds."
Left Hand of Darkness,Blood,Magic,,16,,Active - Consumer,,,,,,,1000,30000,Damage,,,"Consumes 3 Blood Resources. Can be powered by your own health. Causes the target to become Afflicted with a damage over time effect that deals 35 magical damage every second for 4 seconds. If you hit the target with this ability again while the effect is active, the target becomes Impaired and unable to act for 1 second. This ability will apply a 30 second recharge time when the stun is applied."
Prolonged Darkness,Blood,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"The ""Left Hand of Darkness"" damage over time effect lasts 2 seconds longer."
Bloodshot,Blood,Magic,,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"Consumes 2 Blood Resources. Can be powered by your own health. A single target attack that deals 118 magical damage, or 130 magical damage if the target is Afflicted."
Torture,Blood,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you finish channelling a Focus attack, you perform an extra hit that deals 8 magical damage to the target."
Plague,Blood,Magic,,50,,Active - Elite,,,,,,,1500,20000,"Damage, Support",,,"A single target attack that causes the target to become Afflicted with a damage over time effect that deals 66 magical damage every 2 seconds for 12 seconds. If the target dies while the Plague damage over time effect is active, enemies within 7 metres will become Afflicted with a new damage over time effect that deals 34 magical damage every 2 seconds for 8 seconds. Applies Vulnerable to Ranged."
Vital Fluids,Blood,Magic,,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Afflicted, you have a 17.5% chance of build 1 resource for you primary weapon. If you already have the maximum available resources when this effect triggers, you will instead perform an additional hit dealing 21 magical damage to the target."
Anaesthesia,Blood,Magic,,12,,Active,,,,,,,1000,60000,"Damage, Support",,,A single target attack that deals 91 magical damage and causes the target to become Impaired and unable to act for 5 seconds. This ability has a 3 metre range.
Third Degree,Blood,Magic,,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you build a Third Degree counter. When this counter reaches 3, you also cause the target to become Afflicted with a damage over time effect that deals 23 magical damage every second for 4 seconds."
Contaminate,Blood,Magic,,21,,Active,,,,,,,1000,40000,"Damage, Support",,,"A single target attack that causes the target to become Afflicted by a damage over time effect that deals 20 magical damage every second for 6 seconds. If the target is healed while this damage over time effect is active, it will perfrom a hit on the healer that deals 61 magical damage."
Blood Bank,Blood,Magic,,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Afflicted, you gain a stack of the Blood Bank effect, which increases the damage dealt by your damage over time effects by 3% per stack for 10 seconds. This effect can stack up to 5 times."
Cannibalise,Blood,Magic,,34,,Active,,,,,,,0,25000,Support,,,Builds 3 Blood Resources. Deals 10% of your maximum health as magical damage to you and grants you a beneficial effect that causes your next Blood resource consumer to deal 20% more damage. This ability does not trigger and is not affected by global recharge time.
Gross Anatomy,Blood,Magic,,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever one of your damage over time effects expires or is renewed, it will perform an additional hit that deals 21 magical damage."
Open Vein,Blood,Magic,,9,,Active - Builder,,,,,,,500,0,Damage,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Builds 1 resource for each equipped weapon. A Chain attack that deals 24 magical damage."
Doom,Blood,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you gain a Doom counter. When this counter reaches 4, your next hit will penetrate."
There Will Be Blood,Blood,Magic,,16,,Active - Consumer,,,,,,,1000,0,Damage,,,"GTAoE: Affects 6 enemies in a 5 metre radius around the targeted point. Consumes 5 Blood Resources. Can be powered by your own health. A GTAoE attack that deals 54 magical damage. Also places an area on the ground lasting 6 seconds. This area deals 5 magical damage every second to enemies inside it, scaling with the number of targets originally hit."
Splatter,Blood,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,All your Chain attacks can jump to 2 additional targets.
Guts and Glory,Blood,Magic,,27,,Active - Consumer,,,,,,,1000,0,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Consumes 3 Blood Resources. Can be powered by your own health. A TAoE attack that deals 71 magical damage. If any target is Impaired, you gain the Major Penetration Chance effect, which increases your Penetration Chance by 45% for 6 seconds."
Circulation,Blood,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Afflicted, you gain a heal over time effect that heals for 7 every second for 10 seconds. If the target is Impaired, the effect will also give you a barrier that absorbs 100% of incoming damage and  dissipates after absorbing 15 damage."
Expulsion,Blood,Magic,,50,,Passive - Elite,,,,,,,1000,20000,"Damage, Support, Healing",,,"Places an absorb barrier on you that absorbs 100% of incoming damage and dissipates after absorbing 246 damage. This barrier scales with Attack Rating and not with Heal Rating. When the barrier either expires or is spent, it will deal 314 magical damage to all enemies within 5 metres of you."
Ruby Curtain,Blood,Magic,,9,,Active - Builder,,,,,,,1000,0,Healing,,,Builds 1 Blood Resource. A single target heal that heals for 11 and places an absorb barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 42 damage.
Donor,Blood,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you place a barrier on your defensive target. This barrier absorbs 100% of incoming damage and dissipates after absorbing 15 damage."
The Scarlet Arts,Blood,Magic,,16,,Active - Consumer,,,,,,,2000,0,Healing,,,"Channelling: Every 0.4 seconds for 2 seconds. Consumes 5 Blood Resources. Can be powered by your own health. The first channelling hit places an absorb barrier on your defensive target, which absorbs 100% of incoming damage and dissipates after absorbing 57. The next 3 channelling hits heal the defensive target for 58. The last channelling hit places the same barrier as the first hit."
Culmination,Blood,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you finish channelling a Focus ability, you heal your defensive target for 9."
Exquisite Corpse,Blood,Magic,,27,,Active - Consumer,,,,,,,1000,0,Healing,,,"Consumes 2 Blood Resources. Can be powered by your own health. Places a reflect barrier on your defensive target, which reflects 50% of incoming damage back to the attacker and dissipates after reflecting 67 damage. Also heals the defensive target for 61."
Sanguineous,Blood,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you place a barrier, you are healed for 12."
My Bloody Valentine,Blood,Magic,,50,,Active - Elite,,,,,,,1000,20000,"Support, Healing",,,"Places an absorb barrier on your defensive target, which absorbs 100% of incoming damage and dissipates after absorbing 228 damage. While this barrier is active, the target is healed for 45 every second. When the barrier is removed it deals 226 damage in a 5 metre area around the target. If any enemies are hit by this, your defensive target gains a barrier that absorbs 100% of incoming damage and dissipates after absorbing 152 damage."
Omen,Blood,Magic,,9,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you apply Impaired or whenever you are Impaired, you gain a beneficial effect that increases the amount of damage your next barrier can absorb by 100."
Transfuse and Abuse,Blood,Magic,,12,,Active,,,,,,,1000,20000,"Support, Healing",,,"Cleanses up to 3 damage over time effects active on you, and causes the target to become Afflicted with a damage over time effect that deals 9 magical damage every second per effect you cleansed for 7 seconds. This ability can only be activated when you are Afflicted."
Five Times a Charm,Blood,Magic,,16,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you build a Five Times a Charm counter. When this counter reaches 5, it will cause the target to become Impaired and unable to act for 3 seconds. This effect has a recharge time 30 seconds."
Liquidation,Blood,Magic,,21,,Active,,,,,,,1000,30000,"Damage, Support, Healing",,,Places an area around the targeted point that will last for 10 seconds. Enemies inside the area become Afflicted with a damage over time effect that deals 14 magical damage and heals you for 7 every second for 4 seconds.
Ebb and Flow,Blood,Magic,,27,,Passive,,,,,,,N/A,N/A,N/A,,,"Increases the power of your barriers by 20%, but reduces the power of your direct heals by 5%."
Infusion,Blood,Magic,,34,,Active,,,,,,,0,30000,Support,,,Builds 3 Blood Resources. You remove your own barrier and gain a beneficial effect that will cause your next barrier to absorb 35% more damage. This ability can only be activated when you have a barrier. This ability does not trigger and is not affected by global recharge time.
Clotting,Blood,Magic,,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,,,"Whenever you apply a barrier to a target that already has a barrier, you also heal the target for 67% of the new barrier's strength."
Hematic Rites,Blood,Magic,,9,,Active - Consumer,,,,,,,1000,0,Healing,,,"TAoE: Affects up to 6 friends within a 5 metre radius around the defensive target. Consumes 2 Blood Resources. Can be powered by your own health. Places an absorb barrier on all affected targets, which absorbs 100% of incoming damage and dissipates after absorbing 67 damage."
Arterial Pulse,Blood,Magic,,12,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you penetrate, you perform an additional hit on the target and enemies around it deals 14 magical damage."
Linked Veins,Blood,Magic,,16,,Active - Builder,,,,,,,1000,0,Healing,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 friends. Builds 1 Blood Resource. A Chain that heals for 13 and places a barrier that absorbs 100% of incoming damage and dissipates after absorbing 13 damage. This effect does not apply to self."
Last Rites,Blood,Magic,,21,,Passive,,,,,,,N/A,N/A,N/A,,,"Improves ""Hermatic Rites"" to deal 10 magical damage to nearby enemies if the barrier expire, or is depleted. ""Hematic Rites"" also now heals for 17 and places a barrier that absorbs 100% of incoming damage and dissipates after absorbing 67 damage instead of its normal effect."
Blood Pact,Blood,Magic,,27,,Active - Consumer,,,,,,,1000,30000,Healing,,,PBAoE: Affects up to 6 friends in a 5 metre radius around you. Consumes 5 Blood Resources. Can be powered by your own health. Places and absorb barrier on affected targets that absorbs 100% of incoming damage and dissipates after absorbing 78 damage. Affected targets are also given a beneficial effect that causes the first enemy to him them to become Impaired and unable to act for 3 seconds.
Vessel Walls,Blood,Magic,,34,,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you activate a Chain ability, you gain an absorb barrier that absorbs 100% of incoming damage and dissipates after absorbing 26 damage."
Cold Blooded,Blood,Magic,,50,,Active - Elite,,,,,,,2000,30000,"Support, Healing",,,"Channelled: Every 0.5 seconds for 2 seconds. You deal 3% of your maximum heal as magical damage to yourself. Each team member is heal for 67 per tick and receives and absorb barrier. This barrier absorbs 100% of incoming damage and dissipates after absorbing 66 damage. While you channel, you take 40% less damage."
Provoke,Misc,Misc,Turbulence,9,"Taunt, Hate",Active,,,,,,,1000,40000,"Support, Survivability",,,"Taunts the target, causing it to gain enough hate towards you to start attacking you and forcing the target to attack you for 3 seconds."
Agitator,Misc,Misc,Turbulence,12,Hate,Passive,,,,,,,N/A,N/A,N/A,,,"Increases the amount of hate enemies will gain towards you, making them more likely to attack you instead of others. Enemies will gain hate towards you at a 350% rate."
Mass Provocation,Misc,Misc,Turbulence,16,"Taunt, Hate",Active,,,,,,,1000,50000,"Support, Survivability",,,TAoE: Affects up to 6 enemies in a 5 metre radius around the target. A TAoE taunt that forces affected targets to attack you for 5 seconds.
Fuel to the Fire,Misc,Misc,Turbulence,21,Hate,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you hit, the target generates 200 extra hate towards you."
Mockingbird,Misc,Misc,Turbulence,27,"Hate, Self-Survivability",Active,,,,,,,1000,20000,"Support, Survivability, Healing",,,"You gain a beneficial effect, which causes all hits against you during the next 10 seconds to also heal you for 9 and cause the attacker to gain 200 extra hate towards you."
Resilient Defender,Misc,Misc,Turbulence,34,Self-Survivability,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you evade or block or an attack glances you, you are healed for 15."
Stoicism,Misc,Misc,Turbulence,50,"Hate, Self-Survivability",Active - Elite,,,,,,,1000,30000,"Support, Survivability",,,You gain a beneficial effect that reduces the damage you take by 20% and causes enemies to gain hate against you at a 500% rate for 10 seconds. This ability does not trigger and is not affected by global recharge time.
Confuse,Misc,Misc,Subversion,9,Hate Reduction,Active,,,,,,,1000,30000,Support,,,"Reduces the amount of hate the target has towards you, making it more likely to attack other instead of you. The target's hate towards you is reduced by 50%."
Subtlety,Misc,Misc,Subversion,12,Hate Reduction,Passive,,,,,,,N/A,N/A,N/A,,,"Reduces the amount of hate enemies will gain towards you, making them more likely to attack others instead of you. Enemies will gain hate towards you at a 75% rate."
Mass Confusion,Misc,Misc,Subversion,16,Hate Reduction,Active,,,,,,,1000,30000,Support,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around the target. A TAoE detaunt that reduces the amount of hate affected targets have towards you, making them more likely to attack others instead of you. The target's hate towards you is reduced by 33%."
Under the Radar,Misc,Misc,Subversion,21,Hate Reduction,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you critically hit or penetrate, you also make the target more likely to attack others instead of you by reducing its hate towards you by 400."
Misdirection,Misc,Misc,Subversion,27,Hate Reduction,Active,,,,,,,1000,30000,Support,,,"For the next 8 seconds, 50% of the hate enemies gain towards you is instead transfered as hate towards your defensive target."
Kill Streak,Misc,Misc,Subversion,34,Self-Buff,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you or a member of your group kills an enemy, you gain 1 stack of a beneficial effect that increases the damage you deal by 3% per stack for 10 seconds. This effect can stack up to 5 times."
Do or Die,Misc,Misc,Subversion,50,Self-Buff,Active - Elite,,,,,,,1000,45000,Support,,,Increases the direct damage you deal by 25% for 10 seconds. This ability does not trigger and is not affected by global recharge time.
Sleight of Hand,Misc,Misc,Survivalism,9,Cleanse,Active,,,,,,,1000,25000,Support,,,Removes all active crowd control effects from you and makes you immune to further crowd control effect for 7 seconds. This ability does not trigger global recharge time.
Unfair Advantage,Misc,Misc,Survivalism,12,Self-Survivability,Passive,,,,,,,N/A,N/A,N/A,,,Increases the effectiveness of healing received by 5%.
Turn the Tables,Misc,Misc,Survivalism,16,Self-Survivability,Active,,,,,,,1000,35000,Support,,,A self heal that heals for 642. This value is not affected by your healing power or and other heal increasing effects.
Cannonball,Misc,Misc,Survivalism,21,Self-Survivability,Passive,,,,,,,N/A,N/A,N/A,Mobility,,"Whenever you activate a movement ability, you also gain the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds."
Speed Freak,Misc,Misc,Survivalism,27,"Cleanse, Mobility",Active,,,,,,,1000,30000,Support,,,Increases your movement speed by 25% for 6 seconds. Cleanses Hindered and prevents you from being Hindered for the duration.
Tenacity,Misc,Misc,Survivalism,34,Self-Survivability,Passive,,,,,,,N/A,N/A,N/A,,,"Whenever you become Impaired or Hindered, you gain a heal over time effect that heals you for 26 every second for 5 seconds."
Last Resort,Misc,Misc,Survivalism,50,Self-Survivability,Active - Elite,,,,,,,1000,45000,Support,,,"You become unable to act for 8 seconds. During this period you are invulnerablt and are healed for 200 every second. This value is not affected by your healing power or any other heal increasing effects. You also gain the Minor Ward effect, which reduces all damage received by 7.5% for 8 seconds when the invulnerability effect ends. This ability does not trigger and is not affected by global recharge time."
Crack,Whip,Auxiliary,Whip,50,Damage,Active,Single Hit,Column,Normal,None,None,No,1000,15000,N/A,,,A column attack that deals 152 physical damage. Column: Affects up to 6 enemies in a 3 metre wide by 5 metre long area in front of you.
Jones in the Fast Lane,Whip,Auxiliary,Whip,50,Cooldown,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Whip,,Reduces the recharge time of Whip abilities by 50%.
Whip It Good,Whip,Auxiliary,Whip,50,Damage,Active,Multi Hit,Cone,Normal,None,None,No,2000,25000,N/A,,,A channeled cone attack that deals 40 physical damage per hit. Channeled: Every 0.4 seconds for 2 seconds. Cone: Affects up to 6 enemies in a 5 metre long 120 degree
Sonic Boom,Whip,Auxiliary,Whip,50,Damage,Passive,Multi Hit,TAoE,Normal,None,None,No,N/A,N/A,N/A,Whip,,"Whenever you hit a target with a Whip ability, you perform an additional hit on the target and up to 4 enemies within 3 metres around it that deals 9 physical damage. Activating ""Giddy Up"" causes the above effect to be triggered around you."
Giddy Up,Whip,Auxiliary,Whip,50,Buff,Active,N/A,PBAoE,Normal,None,None,No,500,30000,N/A,,,"A PBAoE that gives affected targets a beneficial effect, which increases their movements speed by 15% for 6 seconds. PBAoE: Affects you and up to 4 friends in a 10 metre radius around you."
Whiplash,Whip,Auxiliary,Whip,50,Debuff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Whip,,"Whenever you hit a target with a Whip ability, you apply a detrimental effect which reduces the Physical and Magical Protection of the target by 200 for 7 seconds. Activating ""Giddy Up"" also applies the detrimental effect to 6 enemies around you."
Whippersnapper,Whip,Auxiliary,Whip,50,"Damage, Impair",Active,Single Hit,Single Target,Normal,None,None,No,1000,45000,N/A,,,A column attack that deals 204 physical damage to the nearest enemy. Pulls the target towards you. Column: Affects the nearest enemy in a 3 metre wide by 5 metre long area in front of you.
Timber,Chainsaw,Auxiliary,Chainsaw,50,Damage,Active,Single Hit,Single Target,Normal,None,Rotting Teeth,No,1000,15000,N/A,,,A single target attack that deals 226 physical damage.
Revved Up,Chainsaw,Auxiliary,Chainsaw,50,Damage,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Rotting Teeth,,"Increases the damage dealt by ""Rotting Teeth"" by 100%."
Hurly-Burly,Chainsaw,Auxiliary,Chainsaw,50,Damage,Active,Multi Hit,PBAoE,Channeled,None,Rotting Teeth,No,2500,30000,N/A,,,A channelled PBAoE attack that deals 44 physical damage. Channelled: Every 0.5 seconds for 2.5 seconds. PBAoE: Affects up to 6 enemies in a 5 metre radius around you.
No Love Lost,Chainsaw,Auxiliary,Chainsaw,50,Hate,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Rotting Teeth,,"Improves ""Rotting Teeth"" to generate 263 more hate each time it deals damage."
Diamond Grit,Chainsaw,Auxiliary,Chainsaw,50,Self-Survivability,Active,N/A,N/A,N/A,None,Rotting Teeth,No,1000,30000,N/A,,,Places a reflect barrier on you that reflects 50% of incoming damage back to the attacker and dissipates after reflecting 493 damage or after 10 seconds. The magnitude of the barrier scales based on the Weapon Power of your Chainsaw.
Degradation,Chainsaw,Auxiliary,Chainsaw,50,Debuff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Rotting Teeth,,"Increases the heal required to remove ""Rotting Teeth"" by 650."
The Carver's Art,Chainsaw,Auxiliary,Chainsaw,50,"Damage, Root",Active,Multi Hit,Single Target,Channeled,None,"Rotting Teeth, Root",No,3000,90000,N/A,,,A channelled attack that deals 12 physical damage per hit. Both you and the target are rooted to the ground while this ability is active. Channelled: Every 0.2 seconds for 3 second.
Vector-Space,Quantum,Auxiliary,Quantum,50,Damage,Active,Multi Hit,AoE,Normal,None,Vector,No,500,15000,N/A,,,"Vector: A single target attack that deals 57 magical damage and also applies a damage over time effect that deals 12 magical damage every second for 6 seconds. Becomes ""Space"" after a successful hit. Space: If the target does not have the ""Vector"" damage over time effect, this is a single target attacks that deals 152 magical damage. If the target has the ""Vector"" damage over time effect, this attack instead affects up to 6 enemies in a 5 metre radius around the target, dealing 152 magical damage. Becomes ""Vector"" after a successful activation or 5 seconds have passed."
Supersymmetry,Quantum,Auxiliary,Quantum,50,Damage,Passive,Single Hit,Single Target,Normal,None,None,No,N/A,N/A,N/A,Quantum,,"Whenever you hit a target that has 50% or more of their maximum health remaining with a Quantum ability, you will perform an additional hit that deals 24 magical damage."
Collider-Collapse,Quantum,Auxiliary,Quantum,50,Damage,Active,Multi Hit,Single Target,Channeled,None,None,No,2500,30000,N/A,,,"Collider: A channelled attack against the closest target in a straight line in front of you that deals 36 magical damage per hit every 0.25 seconds for 2.5 seconds. Each time you hit you gain a single stack of ""Collider"" counters. Becomes ""Collapse"" if you have gained at least one ""Collider"" counter by the end of the channel. Collapse: A single target attack that deals 32 magical damage for each ""Collider"" counter you have up to a maximum 324 magical damage. Becomes ""Collider"" after a successful activation or 5 seconds have passed."
Energy Transfer,Quantum,Auxiliary,Quantum,50,Self-Buff,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Quantum,,"Increases the effectiveness of ""Space"", ""Collapse"", ""Destiny"", and ""Oblivion"" by 25%. Reduces the effectiveness of ""Vector"", ""Collider"", ""Charge"", ""Polestar"" by 20%"
